title,company,salary,total_cities,cities,date,description
Analista Python,Ciel It S/A,,1,['Barueri - SP (1)'],hoje,"Analisar e desenvolver projetos de sistemas, levantar requisitos, mapear processos e realizar modelagem de dados, com objetivo de estudar e implementar sistemas de acordo com as…"
Programador Python,Empresa Confidencial,,1,['Belo Horizonte - MG (1)'],23/12,"Desenvolverá sistemas e aplicações, usando a linguagem python com viés em aplicações de robôs. Executará a montagem da estrutura de banco de dados, utilizando MySQL. Trabalhará…"
Desenvolvedor Python Pleno,Tpz Soluções Digitais Ltda,,1,['São Paulo - SP (1)'],23/12,"Programa em Python e estrutura o banco de dados. Executa a manutenção dos sistemas, fazendo eventuais correções necessárias, visando atender às necessidades dos usuários…"
Desenvolvedor Python Sênior,Empresa Confidencial,,1,['São Paulo - SP (1)'],23/12,Desenvolvimento e manutenção de projetos WEB para o Google. Experiência com Python (programação funcional/poo). Flask para criação de API's Rest. Conhecimento sólido na criação…
Desenvolvedor Python - Pleno / Sênior,Empresa Confidencial,1500.0,1,['Campinas - SP (1)'],22/12,Trabalhe em uma equipe dinâmica na criação de soluções inovadoras. As principais atividades e responsabilidades incluem. Resumir os requisitos da equipe de produtos e trabalhar…
Desenvolvedor Python Pleno/Sênior,Empresa Confidencial,,1,['Barueri - SP (1)'],23/12,"Responsável pela execução de testes funcionais e integrados com validações de código (Sonar) e Atuar com ferramentas de dados (AWS Aurora, PostgreSQL, Mongo DB). Formação…"
Desenvolvedor de Software Pleno - Python,Empresa Confidencial,,1,['Joinville - SC (1)'],20/12,"Desenvolver e manter software de acordo com os requisitos do projeto, entregando código dentro dos padrões de qualidade adotados pela empresa, compreender e discutir sobre o…"
Desenvolvedor Python -Vue.js Pl,4 LINUX,,1,['Brasilia - DF (1)'],20/12,**Principais Tarefas: Atividades e Responsabilidades - Desenvolvimento e manutenção de aplicações web: - Desenvolver e sustentar integrações via API com parceiros; - Realizar a…
Engenheiro de Dados Sênior Azure e Python,NPW It Consultoria em Informática Ltda,,1,['São Paulo - SP (1)'],23/12,"Construir pipelines de extração de dados de diversas fontes e armazenar em um Azure Data Lake, utilizando Python, Suportar e monitorar a plataforma de dados do cliente…"
Analista de Desenvolvimento de Software Pleno (Java | Python),TOTVS S.A.,,1,['São Paulo - SP (1)'],23/12,"Trabalhar em um time colaborativo, em que práticas de pareamento, feedbacks e motivação para se desenvolver, são comuns a todos. Desenvolvimento de aplicações em Java / Python…"
